feature_type,mode,start_layer,end_layer,best_epoch,train_auroc,train_auprc,train_log_loss,val_auroc,val_auprc,val_log_loss,test_auroc,test_auprc,test_log_loss
attn,consecutive3,10,12,60,1.0,1.0,4.1526786675251925e-06,1.0,1.0,1.3653339590675387e-05,1.0,0.9999999999999999,1.9535848571217717e-05
attn,consecutive3,11,13,60,1.0,1.0,3.9568394511598775e-06,1.0,1.0,1.287006161848869e-06,1.0,0.9999999999999999,3.7159863725992853e-06
attn,consecutive3,12,14,60,1.0,1.0,3.4852407607787864e-06,1.0,1.0,1.493059185134553e-06,1.0,0.9999999999999999,5.020091191198137e-06
attn,consecutive3,13,15,60,1.0,1.0,6.980743683137177e-06,1.0,1.0,7.913712813513068e-06,1.0,0.9999999999999999,2.464712271466354e-05
attn,consecutive3,14,16,60,1.0,1.0,5.376640908738738e-06,1.0,1.0,6.320925826198302e-05,1.0,0.9999999999999999,5.582106034726664e-05
attn,consecutive3,15,17,60,1.0,1.0,7.061256174106481e-06,1.0,1.0,0.0001578800531418769,1.0,0.9999999999999999,0.0001339284273371026
attn,consecutive3,16,18,60,1.0,1.0,6.695056522901437e-06,1.0,1.0,0.0001849552629986599,1.0,0.9999999999999999,0.0002816914038757779
attn,consecutive3,17,19,60,1.0,1.0,6.002119343379954e-06,1.0,1.0,0.00038492431872134964,1.0,0.9999999999999999,6.179915426882131e-06
attn,consecutive3,18,20,60,1.0,1.0,5.088772144505756e-06,1.0,1.0,0.0009562173484170475,1.0,0.9999999999999999,2.4272835267829163e-05
attn,consecutive3,19,21,60,1.0,1.0,5.278857766151925e-06,1.0,1.0,0.0015150646741436203,1.0,0.9999999999999999,7.213345084087659e-05
attn,consecutive3,20,22,60,1.0,1.0,5.910088865922891e-06,1.0,1.0,0.0004239722853483745,1.0,0.9999999999999999,0.00023374904952609457
attn,consecutive3,21,23,60,1.0,1.0,8.89004787129546e-06,1.0,1.0,0.000456814259524873,1.0,0.9999999999999999,0.0007390194480316044
attn,consecutive3,22,24,60,1.0,1.0,1.3989241920342357e-05,1.0,1.0,0.00018577055000659415,1.0,0.9999999999999999,0.0003935860518625362
attn,consecutive3,23,25,60,1.0,1.0,3.3316765408466464e-05,1.0,1.0,0.003404711807712726,1.0,0.9999999999999999,0.0017707124281450667
attn,consecutive3,24,26,60,1.0,1.0,4.661046741712906e-05,1.0,1.0,0.002516572433223561,1.0,0.9999999999999999,0.002002411546323232
attn,consecutive3,25,27,60,1.0,1.0,2.8068640399702356e-05,1.0,1.0,0.0023549315070545604,1.0,0.9999999999999999,0.001118713175958689
attn,consecutive3,26,28,60,1.0,1.0,3.105388300267827e-05,1.0,1.0,0.0008834323422986806,1.0,0.9999999999999999,0.0007948204343465709
attn,consecutive3,27,29,60,1.0,1.0,4.452312462214268e-05,1.0,1.0,0.003157718677447267,1.0,0.9999999999999999,0.002413688322295323
attn,consecutive3,28,30,60,1.0,1.0,5.86998886036058e-05,1.0,1.0,0.0026796240979555536,1.0,0.9999999999999999,0.0025102105207112147
attn,consecutive3,29,31,60,1.0,1.0,7.054648450504813e-05,1.0,1.0,0.002014152587181636,0.9999862213403881,0.9999879853902344,0.005850225713474109
attn,consecutive3,30,32,45,1.0,1.0,0.00010678219674459708,1.0,1.0,0.003135329022438438,1.0,0.9999999999999999,0.0034440732024778394
